temp_water,formatted_time,alias,latitude,longitude
11.7,2022-05-05 12:05:00,Bergabadet,59.057008,17.440774
13.4,2022-05-06 12:05:00,Bergabadet,59.057008,17.440774
13.6,2022-05-07 12:05:00,Bergabadet,59.057008,17.440774
13.8,2022-05-08 12:06:00,Bergabadet,59.057008,17.440774
13.4,2022-05-09 12:06:00,Bergabadet,59.057008,17.440774
13.6,2022-05-10 12:06:00,Bergabadet,59.057008,17.440774
13.9,2022-05-11 12:07:00,Bergabadet,59.057008,17.440774
13.8,2022-05-12 12:07:00,Bergabadet,59.057008,17.440774
13.8,2022-05-13 12:07:00,Bergabadet,59.057008,17.440774
14.4,2022-05-14 12:07:00,Bergabadet,59.057008,17.440774
14.6,2022-05-15 12:08:00,Bergabadet,59.057008,17.440774
14.6,2022-05-16 12:08:00,Bergabadet,59.057008,17.440774
14.9,2022-05-17 12:08:00,Bergabadet,59.057008,17.440774
15.4,2022-05-18 12:09:00,Bergabadet,59.057008,17.440774
17.5,2022-05-19 12:09:00,Bergabadet,59.057008,17.440774
16.6,2022-05-20 12:09:00,Bergabadet,59.057008,17.440774
15.2,2022-05-21 12:09:00,Bergabadet,59.057008,17.440774
14.9,2022-05-22 12:10:00,Bergabadet,59.057008,17.440774
14.9,2022-05-23 12:10:00,Bergabadet,59.057008,17.440774
15.1,2022-05-24 12:10:00,Bergabadet,59.057008,17.440774
17.0,2022-05-25 12:11:00,Bergabadet,59.057008,17.440774
16.1,2022-05-26 12:11:00,Bergabadet,59.057008,17.440774
16.4,2022-05-27 12:11:00,Bergabadet,59.057008,17.440774
15.9,2022-05-28 12:11:00,Bergabadet,59.057008,17.440774
16.2,2022-05-29 12:12:00,Bergabadet,59.057008,17.440774
15.7,2022-05-30 12:12:00,Bergabadet,59.057008,17.440774
15.8,2022-05-31 12:12:00,Bergabadet,59.057008,17.440774
15.7,2022-06-01 12:13:00,Bergabadet,59.057008,17.440774
16.3,2022-06-02 12:13:00,Bergabadet,59.057008,17.440774
16.0,2022-06-03 12:13:00,Bergabadet,59.057008,17.440774
17.4,2022-06-04 12:13:00,Bergabadet,59.057008,17.440774
18.4,2022-06-05 12:14:00,Bergabadet,59.057008,17.440774
18.0,2022-06-06 12:14:00,Bergabadet,59.057008,17.440774
17.8,2022-06-07 12:14:00,Bergabadet,59.057008,17.440774
17.6,2022-06-08 12:15:00,Bergabadet,59.057008,17.440774
19.2,2022-06-09 12:15:00,Bergabadet,59.057008,17.440774
19.4,2022-06-10 12:15:00,Bergabadet,59.057008,17.440774
19.9,2022-06-11 12:15:00,Bergabadet,59.057008,17.440774
19.9,2022-06-12 12:16:00,Bergabadet,59.057008,17.440774
19.6,2022-06-13 12:16:00,Bergabadet,59.057008,17.440774
20.4,2022-06-14 12:16:00,Bergabadet,59.057008,17.440774
21.1,2022-06-15 12:17:00,Bergabadet,59.057008,17.440774
21.3,2022-06-16 12:17:00,Bergabadet,59.057008,17.440774
21.5,2022-06-17 12:17:00,Bergabadet,59.057008,17.440774
20.9,2022-06-18 12:17:00,Bergabadet,59.057008,17.440774
20.3,2022-06-19 12:18:00,Bergabadet,59.057008,17.440774
